crunch_id,milestone_num,competitor_num,office_num,product_num,service_num,founding_round_num,total_money_raised,acquisition_num,investment_num,vc_num,success
01tribe,0,2,1,0,0,0,0.0,0,0,0,0
1-800-therapist-llc,0,0,1,0,0,0,0.0,0,0,0,0
1,0,3,1,0,0,1,0.1,0,0,8,0
10stamps-contigua,0,0,1,0,0,0,0.0,0,0,0,0
13-13-uk-ltd,0,0,0,0,0,0,0.0,0,0,0,0
13th-lab,0,0,1,2,0,1,0.07,0,0,1,0
1400-months,0,0,1,0,0,0,0.0,0,0,0,0
1800tollfree,0,0,0,0,0,0,0.0,0,0,0,0
19-studio,0,0,1,0,0,0,0.0,0,0,0,0
1m-infomedia-limited,0,0,2,0,0,0,0.0,0,0,0,0
1st-door-software,0,0,1,0,0,0,0.0,0,0,0,0
20-20-mobile,0,0,1,0,0,1,2.98,0,0,1,0
2359-media,0,0,1,0,0,1,0.0615,0,0,1,0
2degreesmobile,0,2,1,0,0,0,0.0,0,0,0,0
2ergo,0,6,2,6,0,0,0.0,0,0,0,1
2pay,0,3,1,1,0,0,0.0,0,0,0,0
3-rings,0,0,1,0,0,0,0.0,0,0,0,0
360-vantage,0,0,1,3,0,0,0.0,0,0,0,0
3c-interactive,4,0,3,2,0,0,0.0,0,0,0,0
3crumbs-2,1,0,1,0,0,0,0.0,0,0,0,0
3dsoc,0,1,1,0,0,1,0.0,0,0,1,0
3dvu,0,0,0,0,0,0,0.0,0,0,0,0
3dynamics,0,0,1,0,0,0,0.0,0,0,0,0
3gstore-com,0,0,1,1,0,0,0.0,0,0,0,0
3gvision,0,0,1,0,0,0,0.0,0,0,0,0
3jam,0,0,1,1,0,1,0.4,0,0,2,0
3lm,0,1,0,0,0,1,0.15,0,0,1,1
3rdwhale,1,0,0,0,0,0,0.0,0,0,0,1
3roam,0,0,1,0,0,1,0.11,0,0,2,0
4-fingers-social-ratings,1,0,0,0,0,0,0.0,0,0,0,0
42matters,0,4,1,0,0,1,0.0,0,0,1,0
46elks,4,2,0,1,0,0,0.0,0,0,0,0
4allphone,0,0,0,0,0,0,0.0,0,0,0,0
4m-wireless,0,0,1,0,0,0,0.0,0,0,0,1
4sqwifi,0,0,0,0,0,0,0.0,0,0,0,0
5barz-international,1,0,0,0,0,0,0.0,0,0,0,0
5star-sms-nigeria,0,4,1,0,3,0,0.0,0,0,0,0
5th-finger,2,0,1,0,0,1,0.7,0,0,1,0
702apps,0,0,1,0,0,0,0.0,0,0,0,0
815-productions,0,0,1,0,0,0,0.0,0,0,0,0
8villages,3,0,2,0,0,0,0.0,0,0,0,0
91mobiles,0,0,0,0,0,0,0.0,0,0,0,0
955-dreams,0,2,1,1,0,1,0.325,0,0,6,0
99-apps,0,0,1,0,0,0,0.0,0,0,0,0
a-million-cooks,0,0,0,0,0,0,0.0,0,0,0,0
a-r-o,0,2,1,0,0,0,0.0,0,0,0,0
a-steroids,0,0,0,2,0,0,0.0,0,0,0,0
aapya,0,0,0,0,0,0,0.0,0,0,0,0
aava-mobile,0,0,1,0,0,1,0.426,0,0,1,0
ab-mobile-apps,0,0,0,0,0,0,0.0,0,0,0,0
