crunch_id,milestone_num,competitor_num,office_num,product_num,service_num,founding_round_num,total_money_raised,acquisition_num,investment_num,vc_num,num_exited_competitor,company_count,exited_company_count
0-6-com,0,0,0,0,0,1,0.2,0,0,1,0,0,0
01-enterprise-limited,0,0,0,0,0,0,0.0,0,0,0,0,0,0
01zv-zero-onez-ventures,1,0,0,0,0,0,0.0,0,0,0,0,0,0
1-2-print,1,5,1,0,0,0,0.0,0,0,0,2,0,0
1-earth-recycle,0,0,1,0,0,0,0.0,0,0,0,0,0,0
1-of-nothing,0,0,0,0,0,0,0.0,0,0,0,0,16,3
1-social-media-agency,0,0,1,0,0,0,0.0,0,0,0,0,0,0
1-to-101,0,2,0,0,0,0,0.0,0,0,0,0,1,0
10-000ft,0,2,1,0,0,0,0.0,0,0,0,0,4,0
10-best-design,0,1,0,0,0,0,0.0,0,0,0,0,0,0
100-day-loans-uk,0,0,0,0,0,0,0.0,0,0,0,0,0,0
100-day-loans,0,0,0,0,0,0,0.0,0,0,0,0,0,0
100-layer-cake,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1000-markets,0,4,0,0,0,1,0.05,0,0,3,1,0,0
1000mikes,0,2,1,0,0,0,0.0,0,0,0,0,0,0
1001-menus,0,3,1,0,0,0,0.0,0,0,0,1,2,0
100kcrossing,0,0,1,0,0,0,0.0,0,0,0,0,0,0
100pounds,0,0,1,0,0,0,0.0,0,0,0,0,0,0
101-holidays,0,0,0,4,0,0,0.0,0,0,0,0,3,0
1099online-com,0,0,1,0,0,0,0.0,0,0,0,0,0,0
10bestthings,0,2,1,0,0,1,0.005,0,0,0,1,2,0
10fold-solutions,0,0,1,0,0,0,0.0,0,0,0,0,3,0
10gen,0,0,6,6,0,7,7.34,0,0,16,0,8,3
10h11,0,0,1,0,0,0,0.0,0,0,0,0,0,0
10jumps,0,0,0,0,0,0,0.0,0,0,0,0,0,0
10stamps-contigua,0,0,1,0,0,0,0.0,0,0,0,0,0,0
10starmovies,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1122-media,0,0,1,0,0,0,0.0,0,0,0,0,0,0
11most,0,0,1,0,0,0,0.0,0,0,0,0,2,0
11trees-com,0,0,0,0,0,0,0.0,0,0,0,0,0,0
121cast,1,0,1,2,0,2,0.027,0,0,3,0,4,0
121giving,0,0,0,0,0,0,0.0,0,0,0,0,2,0
121nexus,2,0,2,1,0,3,0.0569,0,0,4,0,2,0
123contactform,0,3,1,0,0,1,0.0,0,0,1,0,0,0
123deal,0,0,1,0,0,0,0.0,0,0,0,0,0,0
123deals-com,0,0,1,0,0,0,0.0,0,0,0,0,0,0
123discountshop,0,0,1,0,0,0,0.0,0,0,0,0,0,0
123flori,5,0,1,0,0,0,0.0,0,0,0,0,0,0
123hotels-com,0,0,0,0,0,0,0.0,0,0,0,0,0,0
123mycard-com,0,0,0,0,0,0,0.0,0,0,0,0,0,0
123sonography,0,0,1,0,0,0,0.0,0,0,0,0,0,0
12seconds,0,1,0,2,0,0,0.0,0,0,0,0,7,2
12speak,0,3,1,0,0,0,0.0,0,0,0,1,0,0
12twenty,0,0,1,0,0,0,0.0,0,0,0,0,0,0
13-13-uk-ltd,0,0,0,0,0,0,0.0,0,0,0,0,0,0
13-guys-named-ed,0,0,1,0,0,0,0.0,0,0,0,0,0,0
1312,2,0,1,2,0,0,0.0,0,0,0,0,0,0
138-music-entertainment,2,0,1,0,0,0,0.0,0,0,0,0,5,0
13th-lab,0,0,1,2,0,1,0.07,0,0,1,0,3,0
140-proof,2,3,1,0,1,2,0.55,0,0,6,2,5,0
1400-months,0,0,1,0,0,0,0.0,0,0,0,0,0,0
140fire,0,0,1,0,0,1,0.05,0,0,0,0,5,0
140ware,0,4,1,1,0,0,0.0,0,0,0,0,0,0
148apps,0,0,1,0,0,0,0.0,0,0,0,0,0,0
15gifts-com,0,0,0,0,0,0,0.0,0,0,0,0,1,0
15minutedate-com,0,0,0,1,0,0,0.0,0,0,0,0,2,0
15minutesnow,0,0,0,0,0,1,0.02,0,0,0,0,0,0
15secondtv,0,2,1,1,0,0,0.0,0,0,0,1,0,0
160-varick-st,0,0,1,0,0,0,0.0,0,0,0,0,0,0
169-st,0,2,1,0,0,1,0.005,0,0,0,1,1,0
16apps,0,0,0,0,0,0,0.0,0,0,0,0,3,0
17-webshop,0,0,1,0,0,0,0.0,0,0,0,0,0,0
17dnorth,0,0,0,0,0,0,0.0,0,0,0,0,0,0
18d-information-technology-china,0,0,1,0,0,0,0.0,0,0,0,0,0,0
18pixels,0,0,1,0,0,0,0.0,0,0,0,0,0,0
19-studio,0,0,1,0,0,0,0.0,0,0,0,0,2,0
199inr,0,0,1,0,1,0,0.0,0,0,0,0,1,0
1aeroporika-gr,0,0,1,0,0,0,0.0,0,0,0,0,0,0
1band-1brand,15,0,1,0,0,0,0.0,0,0,0,0,5,0
1calendar,0,0,2,0,0,1,0.004,0,0,0,0,0,0
1cv-eu,0,1,1,0,0,0,0.0,0,0,0,0,1,0
1daylater,0,4,0,0,2,2,0.0028,0,0,0,0,0,0
1daymakeover,0,0,1,3,0,1,0.005,0,0,0,0,0,0
1docway,0,0,1,0,0,0,0.0,0,0,0,0,0,0
1dollarclub-org,0,2,1,1,0,0,0.0,0,0,0,0,1,0
1dollarscan-zlibro,0,2,1,0,0,0,0.0,0,0,0,0,2,0
1fastbite,0,0,0,0,0,0,0.0,0,0,0,0,1,0
1m-infomedia-limited,0,0,2,0,0,0,0.0,0,0,0,0,0,0
1nfin8y-developments,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1saleaday,1,6,1,0,0,0,0.0,0,0,0,0,1,0
1scream,0,0,0,3,0,0,0.0,0,0,0,0,1,0
1seed,4,0,1,0,0,0,0.0,0,0,0,0,0,0
1sleeve,0,0,1,0,0,0,0.0,0,0,0,0,0,0
1solutions-biz,1,0,1,0,0,0,0.0,0,0,0,0,3,0
