crunch_id,name,milestone_num,competitor_num,office_num,product_num,service_num,founding_round_num,total_money_raised,acquisition_num,investment_num,vc_num,num_exited_competitor,company_count,exited_company_count
0-6-com,"0-6.com",0,0,0,0,0,1,0.2,0,0,1,0,0,0
01-enterprise-limited,"01 Enterprise Limited",0,0,0,0,0,0,0.0,0,0,0,0,0,0
01tribe,"01tribe",0,2,1,0,0,0,0.0,0,0,0,0,0,0
01zv-zero-onez-ventures,"01zv ( zero onez ventures)",1,0,0,0,0,0,0.0,0,0,0,0,0,0
1-2-3-tv,"1-2-3.tv",0,0,1,0,0,0,0.0,0,0,0,0,2,0
1-2-print,"1..2..Print ",1,5,1,0,0,0,0.0,0,0,0,2,0,0
1-800-cashoffer,"1-800-CashOffer",0,0,0,0,0,0,0.0,0,0,0,0,4,0
1-social-media-agency,"1 Social Media Agency",0,0,1,0,0,0,0.0,0,0,0,0,0,0
1-to-101,"1 to 101",0,2,0,0,0,0,0.0,0,0,0,0,1,0
10-000ft,"10,000ft",0,2,1,0,0,0,0.0,0,0,0,0,4,0
10-20-media,"10-20 Media",0,0,1,0,0,1,0.025,0,0,0,0,0,0
10-best-design,"10 Best Design",0,1,0,0,0,0,0.0,0,0,0,0,0,0
100-day-loans-uk,"100 Day Loans UK",0,0,0,0,0,0,0.0,0,0,0,0,0,0
100-day-loans,"100 Day Loans",0,0,0,0,0,0,0.0,0,0,0,0,0,0
1000-markets,"1000 Markets",0,4,0,0,0,1,0.05,0,0,3,1,0,0
1000mikes,"1000MIKES",0,2,1,0,0,0,0.0,0,0,0,0,0,0
1001-menus,"1001 Menus",0,3,1,0,0,0,0.0,0,0,0,1,2,0
100pounds,"100Pounds",0,0,1,0,0,0,0.0,0,0,0,0,0,0
1010data,"1010data",0,0,1,0,0,1,3.5,0,0,1,0,3,0
1011-web-solutions,"1011 Web Solutions",0,0,1,0,0,0,0.0,0,0,0,0,0,0
1060-research-limited,"1060 Research Limited",2,0,2,2,0,0,0.0,0,0,0,0,2,0
1099online-com,"1099Online.com",0,0,1,0,0,0,0.0,0,0,0,0,0,0
10bestthings,"10BestThings",0,2,1,0,0,1,0.005,0,0,0,1,2,0
10fold-solutions,"10fold Solutions",0,0,1,0,0,0,0.0,0,0,0,0,3,0
10gen,"10gen",0,0,6,6,0,7,7.34,0,0,16,0,8,3
10h11,"10h11",0,0,1,0,0,0,0.0,0,0,0,0,0,0
10jumps,"10jumps",0,0,0,0,0,0,0.0,0,0,0,0,0,0
10pearls,"10Pearls",0,0,1,0,0,0,0.0,0,0,0,0,1,0
10stamps-contigua,"10stamps | Contigua",0,0,1,0,0,0,0.0,0,0,0,0,0,0
10starmovies,"10starmovies",0,0,0,0,0,0,0.0,0,0,0,0,0,0
10to1,"10to1",0,0,1,0,0,0,0.0,0,0,0,0,6,0
1122-media,"Harrogate Media Limited",0,0,1,0,0,0,0.0,0,0,0,0,0,0
11870-com,"11870.com",0,2,1,0,0,0,0.0,0,0,0,2,6,0
11trees-com,"11trees.com",0,0,0,0,0,0,0.0,0,0,0,0,0,0
121cast,"121cast",1,0,1,2,0,2,0.027,0,0,3,0,4,0
121giving,"121Giving",0,0,0,0,0,0,0.0,0,0,0,0,2,0
121nexus,"121nexus",2,0,2,1,0,3,0.0569,0,0,4,0,2,0
123contactform,"123ContactForm",0,3,1,0,0,1,0.0,0,0,1,0,0,0
123deal,"123deal",0,0,1,0,0,0,0.0,0,0,0,0,0,0
123deals-com,"123Deals.com",0,0,1,0,0,0,0.0,0,0,0,0,0,0
123discountshop,"123discountshop",0,0,1,0,0,0,0.0,0,0,0,0,0,0
123flori,"123Flori",5,0,1,0,0,0,0.0,0,0,0,0,0,0
123hotels-com,"123Hotels.com",0,0,0,0,0,0,0.0,0,0,0,0,0,0
123rf,"123RF",0,4,1,0,0,0,0.0,0,0,0,1,0,0
128b,"128b",0,0,1,0,0,0,0.0,0,0,0,0,0,0
12seconds,"12seconds",0,1,0,2,0,0,0.0,0,0,0,0,7,2
12speak,"12speak!",0,3,1,0,0,0,0.0,0,0,0,1,0,0
12twenty,"12Twenty",0,0,1,0,0,0,0.0,0,0,0,0,0,0
13-13-uk-ltd,"13 & 13 (UK) Ltd",0,0,0,0,0,0,0.0,0,0,0,0,0,0
13-guys-named-ed,"13 Guys Named Ed",0,0,1,0,0,0,0.0,0,0,0,0,0,0
1312,"1312",2,0,1,2,0,0,0.0,0,0,0,0,0,0
138-music-entertainment,"138 Music & Entertainment",2,0,1,0,0,0,0.0,0,0,0,0,5,0
13th-lab,"13th Lab",0,0,1,2,0,1,0.07,0,0,1,0,3,0
140-proof,"140 Proof",2,3,1,0,1,2,0.55,0,0,6,2,5,0
1400-months,"1400 Months",0,0,1,0,0,0,0.0,0,0,0,0,0,0
140fire,"140Fire",0,0,1,0,0,1,0.05,0,0,0,0,5,0
140ware,"140Ware",0,4,1,1,0,0,0.0,0,0,0,0,0,0
148apps,"148Apps",0,0,1,0,0,0,0.0,0,0,0,0,0,0
15gifts-com,"15gifts.com",0,0,0,0,0,0,0.0,0,0,0,0,1,0
15minutedate-com,"15Minutedate.com",0,0,0,1,0,0,0.0,0,0,0,0,2,0
15minutesnow,"15MinutesNOW",0,0,0,0,0,1,0.02,0,0,0,0,0,0
15secondtv,"15secondTV",0,2,1,1,0,0,0.0,0,0,0,1,0,0
169-st,"169 ST.",0,2,1,0,0,1,0.005,0,0,0,1,1,0
16apps,"16apps",0,0,0,0,0,0,0.0,0,0,0,0,3,0
17-webshop,"17 Webshop",0,0,1,0,0,0,0.0,0,0,0,0,0,0
1800pharmacy,"1-800-Pharmacy",0,0,1,1,0,0,0.0,0,0,0,0,1,0
18d-information-technology-china,"18D Information Technology China",0,0,1,0,0,0,0.0,0,0,0,0,0,0
18pixels,"18PIXELS",0,0,1,0,0,0,0.0,0,0,0,0,0,0
19-studio,"19 Studio",0,0,1,0,0,0,0.0,0,0,0,0,2,0
1915-studios,"1915 Studios",0,0,1,1,0,0,0.0,0,0,0,0,0,0
199inr,"199inr",0,0,1,0,1,0,0.0,0,0,0,0,1,0
1aeroporika-gr,"1aeroporika.gr",0,0,1,0,0,0,0.0,0,0,0,0,0,0
1and1soft,"YeteSoft",2,3,1,0,0,0,0.0,0,0,0,0,0,0
1band-1brand,"1band 1brand",15,0,1,0,0,0,0.0,0,0,0,0,5,0
1bib,"1bib",0,0,1,0,0,1,0.0,0,0,1,0,0,0
1calendar,"1calendar",0,0,2,0,0,1,0.004,0,0,0,0,0,0
1cast,"1Cast",0,0,1,0,0,1,0.0,0,0,1,0,0,0
1clickprint,"1ClickPrint",0,0,3,0,0,0,0.0,0,0,0,0,0,0
1daylater,"1DayLater",0,4,0,0,2,2,0.0028,0,0,0,0,0,0
1daymakeover,"1DayMakeover",0,0,1,3,0,1,0.005,0,0,0,0,0,0
1dollarscan-zlibro,"1dollarscan (zLibro)",0,2,1,0,0,0,0.0,0,0,0,0,2,0
1fastbite,"1Fastbite",0,0,0,0,0,0,0.0,0,0,0,0,1,0
1freecart,"1FreeCart",0,0,1,1,0,0,0.0,0,0,0,0,0,0
1job-co-uk-direct-recruit,"1JOB.co.uk - Direct Recruit",0,0,0,0,0,0,0.0,0,0,0,0,0,0
1m-infomedia-limited,"1M Infomedia Limited",0,0,2,0,0,0,0.0,0,0,0,0,0,0
1nfin8y-developments,"1nfin8y Developments",0,0,0,0,0,0,0.0,0,0,0,0,0,0
1saleaday,"1SaleADay LLC",1,6,1,0,0,0,0.0,0,0,0,0,1,0
1scream,"1scream",0,0,0,3,0,0,0.0,0,0,0,0,1,0
1shoppingcart,"1ShoppingCart.com",0,1,1,0,0,0,0.0,0,0,0,0,0,0
1sleeve,"1sleeve",0,0,1,0,0,0,0.0,0,0,0,0,0,0
1solutions-biz,"1Solutions.biz",1,0,1,0,0,0,0.0,0,0,0,0,3,0
1st-for-property,"1st for Property",0,0,0,0,0,0,0.0,0,0,0,0,0,0
1st-page-seo,"1st page seo",0,0,0,0,0,0,0.0,0,0,0,0,0,0
1stdibs,"1stdibs",0,0,1,0,0,3,4.2,1,0,5,0,0,0
1stvote-com,"1stvote.com",0,1,0,0,0,0,0.0,0,0,0,0,2,0
1t3xt-bvba,"1T3XT BVBA",0,0,0,1,0,0,0.0,0,0,0,0,5,0
1tapps,"1Tapps",0,0,0,0,0,0,0.0,0,0,0,0,0,0
1tinystep-com,"1TinyStep.com",0,0,0,0,0,0,0.0,0,0,0,0,0,0
1up-media-toronto-online-advertising-agency,"1UP Media - Toronto Online Advertising Agency",0,0,1,0,0,0,0.0,0,0,0,0,0,0
1world-online,"1World Online",1,0,1,0,0,1,0.1,0,0,0,0,0,0
2-levels-above,"2 Levels Above",0,0,1,0,0,0,0.0,0,0,0,0,0,0
2-minutes,"2 Minutes",0,0,1,0,0,1,0.166,0,0,2,0,0,0
2-ngage-u,"2NGageU",0,0,1,0,1,0,0.0,0,0,0,0,5,0
2-percent-commission-2pc,"2 Percent Commission 2PC",0,3,1,0,0,0,0.0,0,0,0,0,0,0
2-percent-commission,"2 Percent Commission",0,3,1,0,0,0,0.0,0,0,0,0,0,0
2-under-entertainment,"2 under entertainment",0,0,1,0,0,0,0.0,0,0,0,0,2,0
